DATASET_BINARY
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,Source Type

#dataset color (can be changed later)
COLOR,#ff0000

#Binary datasets can contain one or more values for each node. Each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS). Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely ommited).

#define colors for each individual field column (if not defined all symbols will use the main dataset color, defined in COLOR)
#shapes for each field column; possible choices are
#1: rectangle 
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
FIELD_LABELS,ClinicalOutbreak,ClinicalSporadic,EnvironmentalOutbreak,Unknown
C301-S_MI-2013-CS-ST222,-1,1,-1,-1
C302-S_MI-2013-CS-ST222,-1,1,-1,-1
C303-S_MI-2013-CS-ST222,-1,1,-1,-1
C304-S_MI-2014-CS-ST222,-1,1,-1,-1
C305-S_MI-2015-CS-ST222,-1,1,-1,-1
C306-S_MI-2015-CS-ST222,-1,1,-1,-1
C307-S_MI-2016-CS-ST222,-1,1,-1,-1
C308-S_MI-2016-CS-ST222,-1,1,-1,-1
C309-S_MI-2016-CS-ST222,-1,1,-1,-1
C310-S_MI-2017-CS-ST222,-1,1,-1,-1
C311-S_MI-2018-CS-ST222,-1,1,-1,-1
C312-S_MI-2018-CS-ST222,-1,1,-1,-1
C313-S_MI-2018-CS-ST222,-1,1,-1,-1
C314-S_MI-2018-CS-ST222,-1,1,-1,-1
C315-S_MI-2018-CS-ST222,-1,1,-1,-1
C316-S_MI-2019-CS-ST222,-1,1,-1,-1
C317-S_MI-2019-CS-ST222,-1,1,-1,-1
C318-S_MI-2019-CS-ST222,-1,1,-1,-1
C319-S_MI-2019-CS-ST222,-1,1,-1,-1
C320-S_MI-2019-CS-ST222,-1,1,-1,-1
C321-S_MI-2020-CS-ST222,-1,1,-1,-1
C322-S_CO-2011-CS-ST222,-1,1,-1,-1
C323-S_CO-2017-CS-ST222,-1,1,-1,-1
C324-S_CO-2018-CS-ST222,-1,1,-1,-1
C325-S_NY-2016-CS-ST222,-1,1,-1,-1
C326-S_NY-2016-CS-ST222,-1,1,-1,-1
C327-S_NY-2016-CS-ST222,-1,1,-1,-1
C328-S_NY-2017-CS-ST222,-1,1,-1,-1
C329-S_NY-2017-CS-ST222,-1,1,-1,-1
C330-S_NY-2017-CS-ST222,-1,1,-1,-1
C331-S_NY-2017-CS-ST222,-1,1,-1,-1
C332-S_NY-2017-CS-ST222,-1,1,-1,-1
C333-S_NY-2017-CS-ST222,-1,1,-1,-1
C334-S_NY-2017-CS-ST222,-1,1,-1,-1
