"","geneNames","geneCounts","NC"
"781","group_561",90,1
"782","rlmJ",90,1
"783","group_564",90,1
"784","sdcS_1",90,1
"785","flgK",90,1
"786","flgJ",90,1
"787","flgF",90,1
"788","group_569",90,1
"789","rhtC",90,1
"790","yddE_2",90,1
"791","hisA",90,1
"792","hisF_1",90,1
"793","inhA",90,1
"794","kup_1",90,1
"795","xthA",90,1
"796","ybhR_2",90,1
"797","oprM_1",90,1
"798","group_581",90,1
"799","artJ_1",90,1
"800","dsbD_1",90,1
"801","speE_1",90,1
"802","group_586",90,1
"803","neuB_1",90,1
"804","ccmH_2",90,1
"805","rfbC",90,1
"806","ftsA_2",90,1
"807","kpsM",90,1
"808","group_5902",90,1
"809","mlaD",90,1
"810","rpsI",90,1
"811","ctaG",90,1
"812","cspE",90,1
"813","group_5907",90,1
"814","group_5908",90,1
"815","mlaE_1",90,1
"816","rpmH",90,1
"817","group_5911",90,1
"818","group_5912",90,1
"819","group_5913",90,1
"820","group_5914",90,1
"821","ybaB",90,1
"822","group_5916",90,1
"823","pal",90,1
"824","group_5918",90,1
"825","atpF",90,1
"826","rpsS",90,1
"827","secB",90,1
"828","rpsT",90,1
"829","bamD",90,1
"830","group_5924",90,1
"831","epsG",90,1
"832","group_5926",90,1
"833","rpsR",90,1
"834","group_5928",90,1
"835","rph",90,1
"836","tilS",90,1
"837","rpsE",90,1
"838","acpP_2",90,1
"839","group_5932",90,1
"840","rplT",90,1
"841","rimK_2",90,1
"842","hfq",90,1
"843","group_5936",90,1
"844","rplE",90,1
"845","group_5938",90,1
"846","group_5939",90,1
"847","ampG",90,1
"848","hpf",90,1
"849","group_5941",90,1
"850","ihfB",90,1
"851","rho",90,1
"852","ihfA",90,1
"853","group_5945",90,1
"854","pitA_1",90,1
"855","group_5947",90,1
"856","group_5948",90,1
"857","sugE",90,1
"858","clpA",90,1
"859","group_5950",90,1
"860","qseB",90,1
"861","group_5952",90,1
"862","infA",90,1
"863","group_5954",90,1
"864","group_5955",90,1
"865","group_5956",90,1
"866","smpB",90,1
"867","accA",90,1
"868","group_5959",90,1
"869","rplY",90,1
"870","ubiX",90,1
"871","csrA_1",90,1
"872","mreC",90,1
"873","ftsH",90,1
"874","rplO",90,1
"875","rplL",90,1
"876","dppB",90,1
"877","group_5968",90,1
"878","greA",90,1
"879","ptlF",90,1
"880","ftsB",90,1
"881","rpmI",90,1
"882","atpD",90,1
"883","flgG",90,1
"884","group_5974",90,1
"885","group_5975",90,1
"886","group_5976",90,1
"887","fis_2",90,1
"888","group_5978",90,1
"889","group_5979",90,1
"890","rsbV",90,1
"891","rpmB",90,1
"892","tatA",90,1
"893","rpmC",90,1
"894","rpsL",90,1
"895","yajC",90,1
"896","atpE",90,1
"897","glyQ",90,1
"898","rpmA",90,1
"899","exbD",90,1
"900","ptsH",90,1
"901","dsbE",90,1
