"","geneNames","geneCounts","2006-2010"
"677","bepE_2",20,1
"678","group_2328",20,1
"679","group_233",20,1
"680","group_2336",20,1
"681","yxaF",20,1
"682","petC",20,1
"683","group_236",20,1
"684","group_237",20,1
"685","group_244",20,1
"686","group_258",20,1
"687","pabB",20,1
"688","empA",20,1
"689","decR_1",20,1
"690","mscM",20,1
"691","yciV",20,1
"692","group_306",20,1
"693","group_307",20,1
"694","group_308",20,1
"695","lem3",20,1
"696","group_311",20,1
"697","group_314",20,1
"698","damX",20,1
"699","prlC",20,1
"700","group_326",20,1
"701","group_338",20,1
"702","group_341",20,1
"703","group_346",20,1
"704","tamB",20,1
"705","clpB",20,1
"706","group_350",20,1
"707","group_351",20,1
"708","group_356",20,1
"709","addB",20,1
"710","group_359",20,1
"711","carC",20,1
"712","group_362",20,1
"713","group_363",20,1
"714","algJ",20,1
"715","group_365",20,1
"716","group_370",20,1
"717","nat",20,1
"718","group_372",20,1
"719","smc_3",20,1
"720","adhA",20,1
"721","group_377",20,1
"722","group_378",20,1
"723","group_381",20,1
"724","group_382",20,1
"725","waaA",20,1
"726","prkC_2",20,1
"727","group_388",20,1
"728","group_389",20,1
"729","map_2",20,1
"730","clcA_2",20,1
"731","dinG",20,1
"732","group_399",20,1
"733","ppsE",20,1
"734","cpdA_1",20,1
"735","group_408",20,1
"736","group_409",20,1
"737","trmB",20,1
"738","group_411",20,1
"739","pheA_2",20,1
"740","ftsI_2",20,1
"741","mta_3",20,1
"742","group_420",20,1
"743","sdeA_4",20,1
"744","group_422",20,1
"745","thiE",20,1
"746","moeZ",20,1
"747","galP",20,1
"748","fixL",20,1
"749","group_442",20,1
"750","group_444",20,1
"751","argE_2",20,1
"752","group_448",20,1
"753","group_449",20,1
"754","group_450",20,1
"755","setA",20,1
"756","group_459",20,1
"757","fliK",20,1
"758","pcnB",20,1
"759","hpt",20,1
"760","dat",20,1
"761","aceF",20,1
"762","group_528",20,1
"763","pepN_1",20,1
"764","sdeA_1",20,1
"765","group_531",20,1
"766","bioD",20,1
"767","scpB",20,1
"768","deoC",20,1
"769","group_540",20,1
"770","ubiA",20,1
"771","ubiC",20,1
"772","group_543",20,1
"773","udp",20,1
"774","htpG",20,1
"775","group_552",20,1
"776","esiB_1",20,1
"777","dedD",20,1
"778","folC",20,1
"779","group_558",20,1
"780","fliD",20,1
"781","group_561",20,1
"782","rlmJ",20,1
"783","group_564",20,1
"784","sdcS_1",20,1
"785","flgK",20,1
"786","flgJ",20,1
"787","flgF",20,1
"788","group_569",20,1
"789","rhtC",20,1
"790","yddE_2",20,1
"791","hisA",20,1
"792","hisF_1",20,1
"793","inhA",20,1
"794","kup_1",20,1
"795","xthA",20,1
"796","ybhR_2",20,1
"797","oprM_1",20,1
"798","group_581",20,1
"799","artJ_1",20,1
"800","dsbD_1",20,1
"801","speE_1",20,1
"802","group_586",20,1
"803","neuB_1",20,1
"804","ccmH_2",20,1
"805","rfbC",20,1
"806","ftsA_2",20,1
"807","kpsM",20,1
"808","group_5902",20,1
"809","mlaD",20,1
"810","rpsI",20,1
"811","ctaG",20,1
"812","cspE",20,1
"813","group_5907",20,1
"814","group_5908",20,1
"815","mlaE_1",20,1
"816","rpmH",20,1
"817","group_5911",20,1
"818","group_5912",20,1
"819","group_5913",20,1
"820","group_5914",20,1
"821","ybaB",20,1
"822","group_5916",20,1
"823","pal",20,1
"824","group_5918",20,1
"825","atpF",20,1
"826","rpsS",20,1
"827","secB",20,1
"828","rpsT",20,1
"829","bamD",20,1
"830","group_5924",20,1
"831","epsG",20,1
"832","group_5926",20,1
"833","rpsR",20,1
"834","group_5928",20,1
"835","rph",20,1
"836","tilS",20,1
"837","rpsE",20,1
"838","acpP_2",20,1
"839","group_5932",20,1
"840","rplT",20,1
"841","rimK_2",20,1
"842","hfq",20,1
"843","group_5936",20,1
"844","rplE",20,1
"845","group_5938",20,1
"846","group_5939",20,1
"847","ampG",20,1
"848","hpf",20,1
"849","group_5941",20,1
"850","ihfB",20,1
"851","rho",20,1
"852","ihfA",20,1
"853","group_5945",20,1
"854","pitA_1",20,1
"855","group_5947",20,1
"856","group_5948",20,1
"857","sugE",20,1
"858","clpA",20,1
"859","group_5950",20,1
"860","qseB",20,1
"861","group_5952",20,1
"862","infA",20,1
"863","group_5954",20,1
"864","group_5955",20,1
"865","group_5956",20,1
"866","smpB",20,1
"867","accA",20,1
"868","group_5959",20,1
"869","rplY",20,1
"870","ubiX",20,1
"871","csrA_1",20,1
"872","mreC",20,1
"873","ftsH",20,1
"874","rplO",20,1
"875","rplL",20,1
"876","dppB",20,1
"877","group_5968",20,1
"878","greA",20,1
"879","ptlF",20,1
"880","ftsB",20,1
"881","rpmI",20,1
"882","atpD",20,1
"883","flgG",20,1
"884","group_5974",20,1
"885","group_5975",20,1
"886","group_5976",20,1
"887","fis_2",20,1
"888","group_5978",20,1
"889","group_5979",20,1
"890","rsbV",20,1
"891","rpmB",20,1
"892","tatA",20,1
"893","rpmC",20,1
"894","rpsL",20,1
"895","yajC",20,1
"896","atpE",20,1
"897","glyQ",20,1
"898","rpmA",20,1
"899","exbD",20,1
"900","ptsH",20,1
"901","dsbE",20,1
"902","lemA",20,1
"903","group_5991",20,1
"904","ftsL",20,1
"905","group_5993",20,1
"906","bamE",20,1
"907","group_5995",20,1
"908","pcs",20,1
"909","group_5997",20,1
"910","group_5998",20,1
"911","group_5999",20,1
"912","glnA",20,1
"913","def_1",20,1
"914","ruvA",20,1
"915","group_6003",20,1
"916","skp",20,1
"917","recR",20,1
"918","rplF",20,1
"919","rpoZ",20,1
"920","rpsP",20,1
"921","rpsQ",20,1
"922","prfC",20,1
"923","rpsU",20,1
"924","tolQ",20,1
"925","orn",20,1
"926","rplK",20,1
"927","acpP_1",20,1
"928","kdsD",20,1
"929","group_6016",20,1
"930","hupB",20,1
"931","ctpB",20,1
"932","rpmF",20,1
"933","pntAA",20,1
"934","rplS",20,1
"935","rplP",20,1
"936","group_6022",20,1
"937","glnB",20,1
"938","rplA",20,1
"939","fis_3",20,1
"940","group_6026",20,1
"941","rpsF",20,1
"942","fur",20,1
"943","group_6029",20,1
"944","fis_1",20,1
"945","mraZ",20,1
"946","group_6032",20,1
"947","rpsK",20,1
"948","plsX",20,1
"949","group_6035",20,1
"950","accC",20,1
"951","trxA",20,1
"952","rpsJ",20,1
"953","atpB",20,1
"954","group_604",20,1
"955","spmA",20,1
"956","kaiB",20,1
"957","lptB",20,1
"958","group_6043",20,1
"959","groS",20,1
"960","yadH",20,1
"961","group_6046",20,1
"962","rppH",20,1
"963","cmpD",20,1
"964","rplV",20,1
"965","ycaC",20,1
"966","rplN",20,1
"967","trpR",20,1
"968","pgsA2",20,1
"969","group_6053",20,1
"970","hslU",20,1
"971","group_6055",20,1
"972","group_6056",20,1
"973","rpmG",20,1
"974","group_6058",20,1
"975","dcd",20,1
"976","group_606",20,1
"977","engB",20,1
"978","gcvPB",20,1
"979","mltA_1",20,1
"980","metQ",20,1
"981","group_6064",20,1
"982","zraR",20,1
"983","rplX",20,1
"984","decR_2",20,1
"985","kdsA",20,1
"986","nrdR",20,1
"987","group_607",20,1
"988","gyrB",20,1
"989","ctaD",20,1
"990","rocC",20,1
"991","mmgC",20,1
"992","group_6074",20,1
"993","group_6075",20,1
"994","group_6076",20,1
"995","dnaJ",20,1
"996","clcA_1",20,1
"997","group_6079",20,1
"998","pdxB",20,1
"999","clpP",20,1
"1000","relA",20,1
"1001","group_6082",20,1
"1002","sucC",20,1
"1003","mnmE",20,1
"1004","rlmH",20,1
"1005","mip",20,1
"1006","yknY",20,1
"1007","rfaQ",20,1
"1008","rpsD",20,1
"1009","group_609",20,1
"1010","group_6090",20,1
"1011","gmk",20,1
"1012","ppiB",20,1
"1013","group_6093",20,1
"1014","group_6094",20,1
"1015","murG",20,1
"1016","purD",20,1
"1017","lptE",20,1
"1018","group_6098",20,1
"1019","miaB",20,1
"1020","group_610",20,1
"1021","gltP",20,1
"1022","pitA_2",20,1
"1023","sufU",20,1
"1024","dapA",20,1
"1025","folB",20,1
"1026","rpoB",20,1
"1027","nadA",20,1
"1028","prfA_1",20,1
"1029","group_6108",20,1
"1030","zapA",20,1
"1031","aroB",20,1
"1032","group_6110",20,1
"1033","group_6111",20,1
"1034","group_6112",20,1
"1035","trpS",20,1
"1036","rsmH",20,1
"1037","secY",20,1
"1038","rsmG",20,1
"1039","group_6117",20,1
"1040","secD",20,1
"1041","group_6119",20,1
"1042","ribF",20,1
"1043","tyrP_1",20,1
"1044","ubiE",20,1
"1045","speA",20,1
"1046","rplM",20,1
"1047","apbC",20,1
"1048","cc4",20,1
"1049","psuG",20,1
"1050","rplJ",20,1
"1051","hslV",20,1
"1052","recQ",20,1
"1053","group_613",20,1
"1054","psd",20,1
"1055","exoA",20,1
"1056","sdhB",20,1
"1057","group_6133",20,1
"1058","dtd",20,1
"1059","garP_2",20,1
"1060","scpA",20,1
"1061","lon",20,1
"1062","korB",20,1
"1063","hspQ",20,1
"1064","maeA_1",20,1
"1065","ppsR",20,1
"1066","map_1",20,1
"1067","yidC",20,1
"1068","flgD",20,1
"1069","ubiD",20,1
"1070","pcaF",20,1
"1071","gltA",20,1
"1072","fumC",20,1
"1073","xcpW",20,1
"1074","group_6150",20,1
"1075","hda",20,1
"1076","yqeY",20,1
"1077","ywlC",20,1
"1078","pqiB",20,1
"1079","pheS",20,1
"1080","glpD",20,1
"1081","ftsN",20,1
"1082","flgB",20,1
"1083","grxD",20,1
"1084","ispB",20,1
"1085","glnD",20,1
"1086","group_6162",20,1
"1087","fadN",20,1
"1088","gloA",20,1
"1089","group_6165",20,1
"1090","crt_2",20,1
"1091","nusA",20,1
"1092","metK",20,1
"1093","group_6169",20,1
"1094","gadC_1",20,1
"1095","gadC_2",20,1
"1096","gltB",20,1
"1097","typA",20,1
"1098","fabG_1",20,1
"1099","accB",20,1
"1100","fabF_3",20,1
"1101","sspA",20,1
"1102","group_6178",20,1
"1103","alaC",20,1
"1104","acsA_2",20,1
"1105","apaH",20,1
"1106","minC",20,1
"1107","atpC",20,1
"1108","group_6183",20,1
"1109","osmY_1",20,1
"1110","mltA_2",20,1
"1111","kefC",20,1
"1112","tagH",20,1
"1113","queH",20,1
"1114","atpA",20,1
"1115","group_619",20,1
"1116","rpoN",20,1
"1117","yhdG_1",20,1
"1118","fabI_1",20,1
"1119","adc",20,1
"1120","ybeY",20,1
"1121","hflC",20,1
"1122","rimK_1",20,1
"1123","group_6197",20,1
"1124","fliA",20,1
"1125","ravA",20,1
"1126","group_620",20,1
"1127","ydcV",20,1
"1128","lptD",20,1
"1129","group_6202",20,1
"1130","bepE_1",20,1
"1131","prmB",20,1
"1132","group_6205",20,1
"1133","ynjF",20,1
"1134","ribA",20,1
"1135","group_6208",20,1
"1136","cph1",20,1
"1137","serS",20,1
"1138","mepC",20,1
"1139","bepE_3",20,1
"1140","pccB",20,1
"1141","group_6214",20,1
"1142","group_6215",20,1
"1143","group_6216",20,1
"1144","tsaE",20,1
"1145","mnmG",20,1
"1146","group_6219",20,1
"1147","group_622",20,1
"1148","tgt_1",20,1
"1149","topA",20,1
"1150","group_6222",20,1
"1151","group_6223",20,1
"1152","dnaK",20,1
"1153","gcvT",20,1
"1154","lolA",20,1
"1155","mraY",20,1
"1156","glbN",20,1
"1157","sohB",20,1
"1158","group_623",20,1
"1159","group_6230",20,1
"1160","gpmI",20,1
"1161","group_6232",20,1
"1162","group_6233",20,1
"1163","yccA",20,1
"1164","group_6235",20,1
"1165","cmk",20,1
"1166","yggR",20,1
"1167","ftsZ",20,1
"1168","folE",20,1
"1169","ybhR_1",20,1
"1170","bepA_1",20,1
"1171","bioC_1",20,1
"1172","zapD",20,1
"1173","rplR",20,1
"1174","group_6245",20,1
"1175","group_6246",20,1
"1176","yhgF",20,1
